pair_id,crop,member_a,member_b,n_imgs_total,lookalike_prior,web_checked,web_verified,confirmed,clip_scored,matched_cross_knn,clip_lane_hint,needs_web
squash__cucurbit-downy-mildew__phytophthora-blight,Squash,Cucurbit Downy Mildew,Phytophthora Blight,343,8.1,True,True,True,True,0.0423,image_decisive,False
watermelon__gummy-stem-blight__phytophthora-blight,Watermelon,Gummy Stem Blight,Phytophthora Blight,243,8.1,True,True,True,True,0.0476,image_decisive,False
squash__cucurbit-downy-mildew__powdery-mildew,Squash,Cucurbit Downy Mildew,Powdery Mildew,131,7.2,True,True,True,True,0.129,image_decisive,False
cucumber__anthracnose__cucurbit-downy-mildew,Cucumber,Anthracnose,Cucurbit Downy Mildew,410,7.2,True,True,True,True,0.2242,image_ambiguous,False
squash__phytophthora-blight__powdery-mildew,Squash,Phytophthora Blight,Powdery Mildew,298,7.1,True,False,False,True,0.0755,image_decisive,False
watermelon__anthracnose__gummy-stem-blight,Watermelon,Anthracnose,Gummy Stem Blight,168,6.4,True,True,True,True,0.1045,image_decisive,False
tomato__anthracnose__septoria-leaf-spot,Tomato,Anthracnose,Septoria Leaf Spot,38,6.3,True,True,True,True,0.0357,image_decisive,False
wheat__powdery-mildew__wheat-leaf-rust,Wheat,Powdery Mildew,Wheat Leaf Rust,67,6.3,True,False,False,True,0.2727,image_ambiguous,False
squash__anthracnose__cucurbit-downy-mildew,Squash,Anthracnose,Cucurbit Downy Mildew,117,6.2,True,True,True,True,0.0179,image_decisive,False
cucumber__anthracnose__powdery-mildew,Cucumber,Anthracnose,Powdery Mildew,139,6.2,True,True,True,True,0.1754,image_decisive,False
cucumber__corynespora-leaf-spot__cucurbit-downy-mildew,Cucumber,Corynespora Leaf Spot,Cucurbit Downy Mildew,317,6.2,True,True,True,True,0.2531,image_ambiguous,False
wheat__powdery-mildew__zymoseptoria-tritici,Wheat,Powdery Mildew,Zymoseptoria Tritici,91,6.2,True,True,True,True,0.1111,image_decisive,False
elm__black-spot-of-elm__dutch-elm-disease,Elm,Black Spot Of Elm,Dutch Elm Disease,35,6.2,True,True,True,True,0.0,image_decisive,False
apple__apple-scab__black-rot,Apple,Apple Scab,Black Rot,55,6.2,True,False,False,True,0.0741,image_decisive,False
squash__anthracnose__phytophthora-blight,Squash,Anthracnose,Phytophthora Blight,284,6.1,True,True,True,True,0.114,image_decisive,False
squash__anthracnose__plectosphaerella-fungus,Squash,Anthracnose,Plectosphaerella Fungus,59,6.1,True,False,False,True,0.0546,image_decisive,False
squash__cucurbit-downy-mildew__plectosphaerella-fungus,Squash,Cucurbit Downy Mildew,Plectosphaerella Fungus,118,6.1,True,False,False,True,0.0192,image_decisive,False
squash__phytophthora-blight__plectosphaerella-fungus,Squash,Phytophthora Blight,Plectosphaerella Fungus,285,6.1,True,True,True,True,0.0465,image_decisive,False
squash__plectosphaerella-fungus__powdery-mildew,Squash,Plectosphaerella Fungus,Powdery Mildew,73,6.1,True,False,False,True,0.0535,image_decisive,False
watermelon__anthracnose__phytophthora-blight,Watermelon,Anthracnose,Phytophthora Blight,231,6.1,True,False,False,True,0.0781,image_decisive,False
watermelon__anthracnose__powdery-mildew,Watermelon,Anthracnose,Powdery Mildew,123,6.1,True,False,False,True,0.1132,image_decisive,False
cucumber__anthracnose__corynespora-leaf-spot,Cucumber,Anthracnose,Corynespora Leaf Spot,157,6.1,True,True,True,True,0.295,image_ambiguous,False
cucumber__cucurbit-downy-mildew__phytophthora-blight,Cucumber,Cucurbit Downy Mildew,Phytophthora Blight,362,6.1,True,True,True,True,0.0677,image_decisive,False
cucumber__cucurbit-downy-mildew__powdery-mildew,Cucumber,Cucurbit Downy Mildew,Powdery Mildew,299,6.1,True,True,True,True,0.1713,image_decisive,False
boxwood__boxwood-blight__pseudonectria-buxi-b-o--dodge,Boxwood,Boxwood Blight,Pseudonectria Buxi B.O. Dodge,58,6.1,True,True,True,True,0.0645,image_decisive,False
eggplant__diaporthe-vexans-gratz__phytophthora-blight,Eggplant,Diaporthe Vexans Gratz,Phytophthora Blight,94,6.1,True,True,True,False,,,False
blue-spruce__rhizosphaera-needle-cast__spruce-needle-rusts,Blue Spruce,Rhizosphaera Needle Cast,Spruce Needle Rusts,29,6.1,True,False,False,True,0.2174,image_ambiguous,False
highbush-blueberry__anthracnose__blueberry-leaf-rust,Highbush Blueberry,Anthracnose,Blueberry Leaf Rust,37,6.1,True,False,False,True,0.125,image_decisive,False
juniper__diaporthe-juniperivora-sacc__kabatina-blight,Juniper,Diaporthe Juniperivora Sacc.,Kabatina Blight,41,6.1,True,True,True,True,0.1714,image_decisive,False
juniper__diaporthe-juniperivora-sacc__phomopsis-cankers-and-twig-blights,Juniper,Diaporthe Juniperivora Sacc.,Phomopsis Cankers And Twig Blights,31,6.1,True,True,True,True,0.3704,image_ambiguous,False
